1	50	174
1	61	129
1	19	109
1	305	103
1	288	97
1	145	81
1	331	80
1	96	76
1	254	76
1	278	75
2	8	318
2	50	174
2	61	129
2	19	109
2	305	103
2	288	97
2	3	91
2	187	83
2	6	81
2	145	81
3	50	174
3	61	129
3	305	103
3	288	97
3	3	91
3	187	83
3	6	81
3	331	80
3	96	76
3	254	76
4	8	318
4	50	174
4	61	129
4	19	109
4	305	103
4	288	97
4	3	91
4	187	83
4	6	81
4	145	81
5	8	318
5	50	174
5	61	129
5	19	109
5	305	103
5	288	97
5	3	91
5	187	83
5	6	81
5	145	81
6	8	318
6	61	129
6	19	109
6	288	97
6	3	91
6	187	83
6	6	81
6	145	81
6	331	80
6	96	76
7	8	318
7	50	174
7	61	129
7	19	109
7	305	103
7	288	97
7	3	91
7	187	83
7	6	81
7	145	81
8	8	318
8	19	109
8	305	103
8	288	97
8	3	91
8	187	83
8	6	81
8	145	81
8	331	80
8	96	76
9	8	318
9	50	174
9	61	129
9	19	109
9	305	103
9	288	97
9	3	91
9	187	83
9	145	81
9	331	80
10	50	174
10	61	129
10	19	109
10	305	103
10	288	97
10	3	91
10	187	83
10	6	81
10	145	81
10	331	80
11	50	174
11	61	129
11	19	109
11	305	103
11	288	97
11	3	91
11	187	83
11	6	81
11	145	81
11	331	80
12	8	318
12	50	174
12	61	129
12	19	109
12	305	103
12	288	97
12	3	91
12	187	83
12	6	81
12	145	81
13	50	174
13	61	129
13	19	109
13	305	103
13	288	97
13	3	91
13	187	83
13	6	81
13	145	81
13	331	80
14	8	318
14	50	174
14	61	129
14	19	109
14	305	103
14	288	97
14	3	91
14	187	83
14	6	81
14	145	81
15	8	318
15	50	174
15	61	129
15	305	103
15	288	97
15	3	91
15	187	83
15	6	81
15	145	81
15	331	80
16	50	174
16	61	129
16	19	109
16	305	103
16	288	97
16	3	91
16	187	83
16	6	81
16	145	81
16	331	80
17	61	129
17	19	109
17	305	103
17	288	97
17	3	91
17	187	83
17	6	81
17	145	81
17	331	80
17	96	76
18	8	318
18	50	174
18	61	129
18	19	109
18	305	103
18	288	97
18	3	91
18	187	83
18	6	81
18	145	81
19	50	174
19	61	129
19	19	109
19	305	103
19	288	97
19	3	91
19	187	83
19	6	81
19	145	81
19	331	80
20	8	318
20	50	174
20	61	129
20	19	109
20	305	103
20	288	97
20	3	91
20	187	83
20	145	81
20	331	80
21	8	318
21	61	129
21	305	103
21	288	97
21	3	91
21	187	83
21	6	81
21	145	81
21	331	80
21	96	76
22	8	318
22	50	174
22	61	129
22	19	109
22	305	103
22	288	97
22	3	91
22	187	83
22	6	81
22	145	81
23	8	318
23	50	174
23	61	129
23	19	109
23	305	103
23	288	97
